,id,Category,Name,Amount,Unit,List_Price,Price_per_unit_of_measure,Currency
102,2167599,mercearia,Doce Pêssego,0.33,KG,2.99,9.06,€
103,7553596,mercearia,Salsichas Perú e Ervas Aromáticas Lata 8 un,0.35,KG,2.39,14.94,€
104,2005214,mercearia,Salsichas Frankfurt Originais Lata 10 un,0.38,KG,2.09,8.36,€
105,4727785,mercearia,Salsichas de Aves Frankfurt Lata 8 un,0.35,KG,1.39,6.95,€
106,7434253,mercearia,Cogumelos Laminados sem Glúten,0.355,KG,1.09,5.89,€
107,2665109,mercearia,Massa Macarronete Penne Grande Riscado,0.5,KG,1.65,3.30,€
108,2116731,mercearia,Doce Extra de Tomate,0.375,KG,1.79,4.77,€
109,7243789,mercearia,Saqueta de Fruta Multifrutos e Espelta +8M,0.09,KG,0.74,8.22,€
110,5982563,mercearia,Tomate Pelado Inteiro,0.39,KG,0.96,2.46,€
111,7029093,mercearia,Miolo de Amêndoa Torrada,0.2,KG,3.09,15.45,€
112,2769753,mercearia,Arroz Carolino,1.0,KG,2.16,2.16,€
113,7636698,mercearia,Pastilhas Elásticas Spearmint,0.072,KG,3.29,45.69,€
114,6998092,mercearia,Miolo de Amendoim Torrado,0.2,KG,1.09,5.45,€
115,7273637,mercearia,"Saqueta de Fruta Maçã, Banana e Laranja +8M",0.09,KG,0.74,8.22,€
116,5662517,mercearia,Tomate Pelado em Pedaços,0.39,KG,1.46,3.74,€
117,2910025,mercearia,Massa Esparguete Tricolor,0.5,KG,1.21,2.42,€
118,6206400,mercearia,"Saqueta de Fruta Maçã, Banana e Morango +8M",0.09,KG,0.74,8.22,€
119,2395874,mercearia,Feijão Preto Cozido,0.41,KG,0.99,4.23,€
120,4387782,mercearia,Tomate Pelado,0.78,KG,1.29,1.65,€
121,7029178,mercearia,Miolo de Amêndoa com Pele,0.2,KG,2.19,10.95,€
122,7273627,mercearia,Saqueta de Fruta Maçã e Ananás +8M,0.09,KG,0.74,8.22,€
123,2003564,mercearia,Feijão Manteiga Cozido,0.41,KG,0.99,4.23,€
124,3872611,mercearia,Bolachas com Pepitas de Chocolate,0.15,KG,1.09,7.27,€
125,2108568,mercearia,Salsichas Cocktail Lata,0.35,KG,1.64,9.11,€
126,7636694,mercearia,Pastilhas Elásticas Peppermint,0.072,KG,3.29,45.69,€
127,7214720,mercearia,Puré de Fruta 8 Frutos +3A,0.09,KG,0.99,11.00,€
128,4042147,mercearia,Massa Farfalle,0.5,KG,2.44,4.88,€
129,2003577,mercearia,Feijão Encarnado Cozido,0.41,KG,0.99,4.23,€
130,5411515,mercearia,Tomate Triturado,0.39,KG,0.69,1.77,€
131,2417128,mercearia,Massa Penne Rigate,0.5,KG,2.44,4.88,€
132,2003566,mercearia,Feijão Branco Cozido,0.845,KG,1.99,4.23,€
134,5638662,mercearia,Bolachas Belgas Cobertas com Chocolate,0.198,KG,2.09,10.56,€
135,2003571,mercearia,Feijão Branco Cozido,0.41,KG,0.99,4.23,€
136,7631992,mercearia,Patê com Caça,0.11,KG,1.99,18.09,€
137,2203031,mercearia,Arroz Carolino,1.0,KG,1.49,1.49,€
138,7314143,mercearia,Atum ao Natural,0.11,KG,0.83,10.78,€
139,7267760,mercearia,"Saqueta de Fruta Banana, Morango e Quinoa +8M",0.09,KG,0.74,8.22,€
140,3699133,mercearia,Arroz Basmati Extra Longo,1.0,KG,2.39,2.39,€
141,7519437,mercearia,Batata Frita Gourmet Original,0.17,KG,2.69,15.82,€
142,7453436,mercearia,Saqueta de Fruta Banana e Morango Frutapura +8M,0.085,UN,1.09,12.82,€
143,3850433,mercearia,Salsichas de Aves Lata 8 un,0.35,KG,1.69,8.45,€
144,2015465,mercearia,Massa Macarrão Riscado,0.5,KG,0.93,1.86,€
145,2859762,mercearia,Feijão Preto Cozido,0.82,KG,1.19,2.29,€
146,7082810,mercearia,Cereais Pétalas de Chocolate Pack Poupança,1.0,KG,3.65,3.65,€
147,7407782,mercearia,Cápsulas de Café Buondi Extreme Int 12,10.0,UN,4.29,0.43,€
148,4905741,mercearia,Puré de Batata sem Glúten,0.25,KG,2.99,11.96,€
149,4951641,mercearia,Bolachas Mini Dinossauros Cereais,0.12,KG,0.99,8.25,€
150,6036897,mercearia,Lagartos,0.75,KG,2.79,3.72,€
151,7267776,mercearia,Saqueta de Frutos Multifrutos e Aveia +8M,0.09,KG,0.74,8.22,€
152,6748433,mercearia,Massa Esparguete Integral,0.5,KG,2.82,5.64,€
153,5884008,mercearia,Massa Penne Rigate sem Glúten,0.4,KG,2.91,7.28,€
154,6869201,mercearia,Azeite Virgem Extra Essencial,0.75,LT,4.59,6.12,€
155,4558629,mercearia,Bolachas Argolinhas com Cobertura Chocolate Branco,0.15,KG,0.79,5.27,€
156,7246729,mercearia,Flocos Aveia Finos Integral Pack Poupança,1.0,KG,1.75,1.75,€
157,6580640,mercearia,Arroz Integral Extra Longo,1.0,KG,2.0,2.00,€
158,5818193,mercearia,Maionese em Vidro,0.48,LT,4.89,10.19,€
159,4896095,mercearia,Batata Frita Forno Ondulada Original,0.15,KG,2.69,17.93,€
160,5508727,mercearia,Salsichas Bockwurst Frasco 5 un sem Glúten,0.38,KG,2.99,11.96,€
161,4999431,mercearia,Bolachas Cracker,0.25,KG,2.65,10.60,€
162,6217948,mercearia,Gressinos Naturais,5.0,KG,1.5,6.00,€
163,5590144,mercearia,Filete Atum em Azeite Biológico,0.12,KG,2.72,34.87,€
164,6592536,mercearia,Feijão Frade Cozido,0.54,KG,0.89,2.23,€
165,6818160,mercearia,Atum Posta em Azeite,0.12,KG,1.03,13.21,€
166,5752106,mercearia,Café Moído Moagem Grossa,0.25,KG,1.79,7.16,€
167,2214127,mercearia,Massa Espirais Fusilli,0.5,KG,1.12,2.24,€
168,6661002,mercearia,Açúcar Amarelo,1.0,KG,1.59,1.59,€
169,4773653,mercearia,Bolachas Crackers com Sal,0.5,KG,1.89,3.78,€
170,4359160,mercearia,Cereais Especial Silhueta com Chocolate Negro,0.375,KG,2.29,6.11,€
171,6998057,mercearia,Miolo de Amendoim com Sal,0.2,KG,0.99,4.95,€
