,Old_index,Name,Amount,List_Price,Price_per_unit_of_measure,Currency,Store,Standardized_Category,Abbr_Category,Cabaz_product
4191,4234,Tablete de Chocolate de Leite,0.165,1.99,12.06,€,continete,mercearia,MERC,0
4197,4240,Arroz Risotto Arbório,0.5,2.84,5.68,€,continete,mercearia,MERC,2
4198,4241,"Bolacha Crisp Bread Queijo,Tomate e Alho",0.13,2.79,21.46,€,continete,mercearia,MERC,1
4205,4248,Filetes de Cavala em Azeite Biológico,0.12,1.94,21.56,€,continete,mercearia,MERC,14
4212,4255,"Refeição para Bebé Frango, Vitela e Legumes +4M",0.235,1.99,8.47,€,continete,mercearia,MERC,10
4215,4258,Leite em Pó Prosyneo HA para Lactentes 1 até 6M sem Glúten,0.8,24.14,30.18,€,continete,mercearia,MERC,0
4219,4262,Vinagre de Arroz,0.15,1.34,8.93,€,continete,mercearia,MERC,2
4220,4263,Azeite Virgem Extra Premium Lote Seleção,0.5,9.42,18.84,€,continete,mercearia,MERC,22
4232,4275,Leite Condensado para Topping,0.45,3.85,8.56,€,continete,mercearia,MERC,0
4240,4283,Leite de Creme,4.0,0.59,6.41,€,continete,mercearia,MERC,0
4242,4285,Massa Esparguete de Espelta Integral,0.5,4.48,8.96,€,continete,mercearia,MERC,3
4248,4291,Leite de Coco Condensado,0.32,2.95,9.22,€,continete,mercearia,MERC,0
4249,4292,Feijão Mung Verde,0.5,2.99,5.98,€,continete,mercearia,MERC,7
4253,4296,Leite em Pó de Continuação Pro Alfa 2 +6M sem Glúten,0.8,12.84,16.05,€,continete,mercearia,MERC,0
4257,4300,Leite em Pó para Lactentes 1 até 6M sem Glúten,0.8,17.59,21.99,€,continete,mercearia,MERC,0
4282,4325,Leite em Pó de Transição Supreme H.A. 2 +6M sem Glúten,0.8,25.99,32.49,€,continete,mercearia,MERC,0
4289,4332,Tablete de Chocolate de Leite e Avelã,0.165,1.99,12.06,€,continete,mercearia,MERC,0
4299,4342,Snack de Chocolate de Leite Crunch,0.033,0.85,25.76,€,continete,mercearia,MERC,0
4303,4346,Leite em Pó Confort para Lactentes Desde o Nascimento até 6M,0.8,19.42,24.28,€,continete,mercearia,MERC,0
4306,4349,Feijão Encarnado,0.66,3.89,8.10,€,continete,mercearia,MERC,7
4321,4364,Tablete de Chocolate de Leite com Mel e Amêndoas,0.36,7.49,20.81,€,continete,mercearia,MERC,0
4331,4374,Massa Fettuccine de Soja sem Glúten,0.2,3.1,15.50,€,continete,mercearia,MERC,3
4335,4378,Tablete Chocolate de Leite com Avelãs,0.1,1.59,15.90,€,continete,mercearia,MERC,0
4339,4382,Atum com Molho de Alho,0.11,4.99,45.36,€,continete,mercearia,MERC,12
4346,4389,Farinha de Arroz Integral,0.5,2.29,4.58,€,continete,mercearia,MERC,2
4347,4390,Snack Chips de Frango Bica Pica,0.02,1.78,89.00,€,continete,mercearia,MERC,10
4354,4397,Tortitas de Arroz Integral,0.13,2.05,15.77,€,continete,mercearia,MERC,2
4355,4398,Massa Macarronete Penne com Alga Kombu,0.3,3.1,10.33,€,continete,mercearia,MERC,3
4365,4408,Sardinha em Óleo Vegetal Picante,0.12,0.89,€10.47, ,continete,mercearia,MERC,13
4378,4421,Sopa de Tomate,0.4,3.65,9.13,€,continete,mercearia,MERC,15
4394,4438,Leite de Transição Líquido Optipro 2 +6M sem Glúten,4.0,9.74,4.87,€,continete,mercearia,MERC,0
4398,4442,Azeite Virgem Extra Premium,0.5,5.33,10.66,€,continete,mercearia,MERC,22
4402,4446,Tablete de Chocolate de Leite Extra Fino,3.0,4.38,17.52,€,continete,mercearia,MERC,0
4405,4449,Patê de Sardinha com Ingredientes Biológicos,0.075,1.69,22.53,€,continete,mercearia,MERC,13
4407,4451,Leite Líquido de Transição Optipro 2 +6M sem Glúten,0.5,2.44,4.88,€,continete,mercearia,MERC,0
4411,4455,Tablete de Chocolate de Leite com Amêndoas Inteiras,0.27,4.39,16.26,€,continete,mercearia,MERC,0
4417,4461,Azeite Virgem Extra Reserva Lata,0.5,4.42,8.84,€,continete,mercearia,MERC,22
4421,4465,Snack Salgado Tomate Menos 60% Gordura,0.065,2.39,36.77,€,continete,mercearia,MERC,15
4444,4489,Massa Penne Rigate,0.5,1.97,3.94,€,continete,mercearia,MERC,3
4447,4492,Muxama de Atum,0.11,5.69,51.73,€,continete,mercearia,MERC,12
4449,4494,Bolacha Maria Hojaldrada,0.15,3.29,5.48,€,continete,mercearia,MERC,6
4454,4499,Leite em Pó Magro +12M,0.38,5.74,5.74,€,continete,mercearia,MERC,0
4455,4500,Marmelada,0.8,3.59,4.49,€,continete,mercearia,MERC,24
4456,4501,Massa Noodles de Arroz sem Glúten,0.25,2.78,11.12,€,continete,mercearia,MERC,2
4469,4514,Condimento Azeite Virgem Extra Trufa,0.25,3.76,15.04,€,continete,mercearia,MERC,22
4474,4519,Papa Infantil Não Láctea Milho e Arroz +4M sem Glúten,0.25,3.85,15.40,€,continete,mercearia,MERC,2
4475,4520,Leite em Pó de Transição 2 +6M sem Glúten,2.0,26.84,16.78,€,continete,mercearia,MERC,0
4506,4551,Leite em Pó para Lactentes Pro Alfa 1 até 6M,0.8,16.59,20.74,€,continete,mercearia,MERC,0
4521,4566,Mistura para Pão de Queijo sem Glúten,0.5,5.89,11.78,€,continete,mercearia,MERC,1
4522,4567,Vinagre de Arroz,0.15,2.99,19.93,€,continete,mercearia,MERC,2
4531,4576,Leite em Pó de Transição Prosyneo HA 2 +6M sem Glúten,0.8,24.14,30.18,€,continete,mercearia,MERC,0
4548,4593,Snack de Chocolate de Leite com Frutos Secos e Passas Dairy Milk,0.049,1.05,21.43,€,continete,mercearia,MERC,0
4549,4594,Sopa de Massa e Feijão,0.182,2.19,12.03,€,continete,mercearia,MERC,3
4552,4597,Nestlé Sobremesas Tablete de Chocolate de Leite Culinária sem Glúten,0.17,2.99,17.59,€,continete,mercearia,MERC,0
4559,4604,Papa Infantil Não Láctea Arroz +4M sem Glúten,0.2,2.49,12.45,€,continete,mercearia,MERC,2
4560,4605,Puré de Fruta Manga com Leite de Coco +6M,4.0,2.99,7.87,€,continete,mercearia,MERC,0
4565,4610,Leite em Pó para Lactentes 1 até 6M sem Glúten,0.4,8.89,22.23,€,continete,mercearia,MERC,0
4572,4617,"Snack de Chocolate de Leite, Amendoim e Milho Kit Kat Pops",0.11,2.99,27.18,€,continete,mercearia,MERC,0
4575,4620,Snack de Chocolate de Leite e Avelãs com Pedaços de Favas de Cacau Kit Kat Pops,0.11,2.99,27.18,€,continete,mercearia,MERC,0
4576,4621,Ovo de Chocolate de Leite Kinder Surpresa,0.02,1.35,67.50,€,continete,mercearia,MERC,0
4602,4647,Caldo para Arroz Cubos sem Glúten,8.0,2.3,28.75,€,continete,mercearia,MERC,2
4605,4650,Leite 6 Cereais e Mel +6M,2.0,2.99,7.48,€,continete,mercearia,MERC,0
4610,4656,Drageias de Chocolate de Leite Smarties,0.038,0.79,20.79,€,continete,mercearia,MERC,0
4614,4660,Drageias de Chocolate de Leite Tubo,0.08,1.86,23.25,€,continete,mercearia,MERC,0
4615,4661,Snack de Chocolate de Leite Kit Kat,9.0,3.49,18.76,€,continete,mercearia,MERC,0
4623,4669,"Snack de Chocolate de Leite com Nougat, Mel e Amêndoa",0.1,2.99,29.90,€,continete,mercearia,MERC,0
4636,4682,Galetes de Arroz e Aveia,0.13,1.55,11.92,€,continete,mercearia,MERC,2
4639,4685,Arroz Sushi,0.5,2.44,4.88,€,continete,mercearia,MERC,2
4641,4687,Tablete de Chocolate de Leite com Frutos Secos e Passas Dairy Milk,0.11,2.99,27.18,€,continete,mercearia,MERC,0
4654,4700,Folha de Arroz,0.134,3.69,27.54,€,continete,mercearia,MERC,2
4655,4701,Tablete de Chocolate de Leite com Bolacha,0.3,4.39,14.63,€,continete,mercearia,MERC,0
4662,4708,"Snack de Chocolate de Leite com Nougat, Mel e Amêndoa",0.2,4.99,24.95,€,continete,mercearia,MERC,0
4684,4730,Snack de Chocolate de Leite,0.05,1.19,23.80,€,continete,mercearia,MERC,0
4690,4736,Cereais de Arroz e Trigo Integral + Linha,1.0,4.99,4.99,€,continete,mercearia,MERC,2
4696,4742,Leite em Pó Confort para Lactentes 1 até 6M sem Glúten,0.4,11.45,28.63,€,continete,mercearia,MERC,0
4699,4745,Snack de Chocolate de Leite Kit Kat,0.0415,1.1,26.83,€,continete,mercearia,MERC,0
4720,4767,Bombons de Chocolate Lindor Leite Coração,0.16,8.99,56.19,€,continete,mercearia,MERC,0
4735,4782,Snack Grilos Tomate e Oregãos,0.012,4.49,374.17,€,continete,mercearia,MERC,15
4746,4793,Massa Rolitos de Aveia sem Glúten,0.25,4.13,16.52,€,continete,mercearia,MERC,3
4752,4799,Pescada ao Natural,0.12,3.99,46.94,€,continete,mercearia,MERC,11
4759,4806,Salada de Grão de Bico com Polvo sem Glúten,0.42,4.79,11.40,€,continete,mercearia,MERC,8
4763,4810,Leite de Coco,0.33,3.79,11.48,€,continete,mercearia,MERC,0
4767,4814,Tablete Chocolate Leite de Aveia,0.09,3.49,38.78,€,continete,mercearia,MERC,0
4775,4822,Atum Posta em Óleo de Girassol,0.385,3.29,13.16,€,continete,mercearia,MERC,12
4788,4835,Atum Posta em Óleo,0.385,3.05,12.20,€,continete,mercearia,MERC,12
4794,4842,Feijão Preto,0.5,2.69,5.38,€,continete,mercearia,MERC,7
4795,4843,Ervilha Metades,0.9,2.63,2.92,€,continete,mercearia,MERC,9
4802,4850,Ervilhas sem Glúten,0.38,3.69,14.19,€,continete,mercearia,MERC,9
4807,4855,Filete de Atum em Azeite Biológico,0.12,2.3,29.49,€,continete,mercearia,MERC,12
4815,4863,Sopa de Massa e Lentilhas,0.155,2.19,14.13,€,continete,mercearia,MERC,3
4818,4866,Snack Tortilhas Nachos Queijo,0.2,2.79,13.95,€,continete,mercearia,MERC,1
4835,4883,Tomate em Pedaços com Pimentos,0.39,1.79,4.59,€,continete,mercearia,MERC,15
4839,4887,Molho Piri-piri Azeite Audaz,0.05,1.74,34.80,€,continete,mercearia,MERC,22
4841,4889,Sardinha Inteira em Azeite Biológico,0.12,1.69,19.88,€,continete,mercearia,MERC,13
4844,4892,Tablete de Chocolate de Leite com Caramelo e Avelã Extrafino,0.087,1.59,18.28,€,continete,mercearia,MERC,0
4846,4894,Filete de Cavala em Óleo,0.155,1.54,18.12,€,continete,mercearia,MERC,14
4847,4895,Arroz Doce,0.125,1.69,13.52,€,continete,mercearia,MERC,2
4865,4913,Snack de Chocolate de Leite Kit Kat Chunky,0.04,1.1,27.50,€,continete,mercearia,MERC,0
4866,4914,Snack de Chocolate de Leite Lion,0.042,1.1,26.19,€,continete,mercearia,MERC,0
4868,4916,Snack de Chocolate de Leite e Manteiga de Amendoim Kit Kat Chunky,0.042,1.1,26.19,€,continete,mercearia,MERC,0
4872,4920,Refeição para Bebé Frango com Legumes +4M,0.12,1.25,10.42,€,continete,mercearia,MERC,10
4883,4931,Tablete de Chocolate de Leite Crunch Mini,0.04,1.1,27.50,€,continete,mercearia,MERC,0
4885,4933,Snack de Chocolate de Leite e Arroz Tufado,0.031,0.66,21.29,€,continete,mercearia,MERC,0
4886,4934,Snack de Chocolate de Leite e Amendoim,0.034,0.66,19.41,€,continete,mercearia,MERC,0
4889,4937,Galete de Arroz Mini,0.04,0.89,22.25,€,continete,mercearia,MERC,2
4890,4938,Snack de Chocolate de Leite Maxi,0.021,0.59,28.10,€,continete,mercearia,MERC,0
4891,4939,"Tablete de Chocolate de Leite com Muesli, Amêndoas e Caramelo Salgado Les Recettes de L'Atelier",0.17,3.99,23.47,€,continete,mercearia,MERC,0
4907,4955,Bolachas Mini Finas Cereais e Chocolate de Leite Hookies,0.16,1.94,12.12,€,continete,mercearia,MERC,0
4909,4957,Snacks de Chocolate de Leite Happy Moments,0.184,5.49,29.84,€,continete,mercearia,MERC,0
4919,4967,Feijão Frade,1.0,1.86,1.86,€,continete,mercearia,MERC,7
4920,4968,Cereais Extra Chocolate de Leite,0.375,4.39,11.71,€,continete,mercearia,MERC,0
4922,4970,Massa Cotovelinhos,1.0,2.06,2.06,€,continete,mercearia,MERC,3
4923,4971,Bombons de Chocolate de Leite Nuxor,0.165,6.74,40.85,€,continete,mercearia,MERC,0
4924,4972,Leite em Pó Júnior 4 +12M sem Glúten,0.75,27.78,12.35,€,continete,mercearia,MERC,0
4937,4985,Preparado para Leite de Creme,0.092,1.37,14.89,€,continete,mercearia,MERC,0
4944,4992,Pão de Leite,0.35,2.44,6.97,€,continete,padaria_pastelaria,PAPA,0
4960,5008,Pão de Leite Brioche,0.35,2.99,8.54,€,continete,padaria_pastelaria,PAPA,0
4961,5009,Tostas de Pão Alentejano,0.1,1.78,17.80,€,continete,padaria_pastelaria,PAPA,5
4964,5012,Mini Tostas de Trigo,0.35,1.87,5.34,€,continete,padaria_pastelaria,PAPA,5
4969,5017,Massa Quebrada,0.23,0.99,4.30,€,continete,padaria_pastelaria,PAPA,3
4981,5029,Pão de Leite,0.28,1.89,6.75,€,continete,padaria_pastelaria,PAPA,0
4982,5030,Tostas Extra Finas,5.0,1.19,11.90,€,continete,padaria_pastelaria,PAPA,5
4984,5032,Tostas Integrais,5.0,2.24,2.99,€,continete,padaria_pastelaria,PAPA,5
4988,5036,Pão Rústico Massa Mãe,0.45,2.34,5.85,€,continete,padaria_pastelaria,PAPA,3
4990,5038,Massa de Pizza Fresca Retangular XXL,0.55,2.59,4.71,€,continete,padaria_pastelaria,PAPA,3
4991,5039,Pão Brioche Fatiado de Massa Mãe,0.45,3.99,8.87,€,continete,padaria_pastelaria,PAPA,3
4994,5042,Massa Folhada Retangular,0.375,1.35,3.60,€,continete,padaria_pastelaria,PAPA,3
4997,5045,Massa Folhada,0.23,0.99,4.30,€,continete,padaria_pastelaria,PAPA,3
5002,5051,Pão de Leite,0.35,1.44,4.11,€,continete,padaria_pastelaria,PAPA,0
5003,5052,Mini Picos com Azeite,0.3,2.11,7.03,€,continete,padaria_pastelaria,PAPA,22
5004,5053,"Croutons com Azeite, Alho e Salsa",0.075,0.74,9.87,€,continete,padaria_pastelaria,PAPA,22
5010,5059,Tostas Rústicas Chapata,0.18,2.63,14.61,€,continete,padaria_pastelaria,PAPA,5
5011,5060,Tostas Suecas Integrais,0.225,1.21,5.38,€,continete,padaria_pastelaria,PAPA,5
5012,5061,Tostas Extra Finas Integrais,0.1,1.19,11.90,€,continete,padaria_pastelaria,PAPA,5
5017,5066,Pão de Leite com Pepitas de Chocolate,6.0,2.95,14.05,€,continete,padaria_pastelaria,PAPA,0
5021,5070,Mini Tostas Integrais,0.18,1.32,7.33,€,continete,padaria_pastelaria,PAPA,5
5023,5072,Tostas Rústicas,0.24,2.31,9.63,€,continete,padaria_pastelaria,PAPA,5
5026,5075,Tostas de Trigo,0.75,2.25,3.00,€,continete,padaria_pastelaria,PAPA,5
5027,5076,Massa Fresca para Pizza,0.28,0.99,3.54,€,continete,padaria_pastelaria,PAPA,3
5029,5078,Palmiers com Massa Folhada,4.0,1.19,7.44,€,continete,padaria_pastelaria,PAPA,3
5033,5082,Pão de Leite com Pepitas Chocolate,0.28,2.99,10.68,€,continete,padaria_pastelaria,PAPA,0
5038,5087,Tostas Suecas,0.225,1.02,4.53,€,continete,padaria_pastelaria,PAPA,5
5040,5089,Pão de Leite,2.0,0.5,6.25,€,continete,padaria_pastelaria,PAPA,0
5050,5099,Tostas Rústicas Integrais,0.24,2.3,9.58,€,continete,padaria_pastelaria,PAPA,5
5054,5103,Tostas de Mistura sem Glúten,0.14,3.52,25.14,€,continete,padaria_pastelaria,PAPA,5
5057,5106,Massa Fresca para Pizza,0.23,2.39,10.39,€,continete,padaria_pastelaria,PAPA,3
5058,5107,Croutons Trigo Tostado,0.15,1.87,12.47,€,continete,padaria_pastelaria,PAPA,5
5059,5108,Tostas Multicereais sem Glúten,0.14,3.52,25.14,€,continete,padaria_pastelaria,PAPA,5
5069,5118,Brioche de Leite,0.28,3.0,10.71,€,continete,padaria_pastelaria,PAPA,0
5079,5129,Gressinos com Azeite,2.0,1.99,7.96,€,continete,padaria_pastelaria,PAPA,22
5083,5133,Tostas Rústicas 9 Cereais,0.24,2.31,9.63,€,continete,padaria_pastelaria,PAPA,5
5084,5134,Pão Tostado,0.415,3.1,7.47,€,continete,padaria_pastelaria,PAPA,5
5091,5141,Croutons com Tomate e Orégãos,0.075,1.4,18.67,€,continete,padaria_pastelaria,PAPA,15
5092,5142,Croutons com Queijo e Sésamo,0.075,1.69,22.53,€,continete,padaria_pastelaria,PAPA,1
5095,5145,Pão Rústico Cereais Massa Mãe,0.45,2.34,5.85,€,continete,padaria_pastelaria,PAPA,3
5096,5146,Mini Tostas de Trigo,0.35,2.25,6.43,€,continete,padaria_pastelaria,PAPA,5
5097,5147,Tostas Integrais,0.225,0.93,4.13,€,continete,padaria_pastelaria,PAPA,5
5102,5152,Massa Folhada,0.23,2.09,9.09,€,continete,padaria_pastelaria,PAPA,3
5103,5153,Tostas de Trigo,0.225,0.83,3.69,€,continete,padaria_pastelaria,PAPA,5
5111,5161,Massa de Pizza Fresca Estilo Americano,0.55,2.59,4.71,€,continete,padaria_pastelaria,PAPA,3
5113,5163,Pão Cerealia de 5 Sementes,0.435,2.44,5.61,€,continete,padaria_pastelaria,PAPA,4
5115,5165,Pão Cerealia de 14 Cereais e Sementes,0.435,2.44,5.61,€,continete,padaria_pastelaria,PAPA,4
5117,5167,Massa Folhada Light,0.23,1.49,6.48,€,continete,padaria_pastelaria,PAPA,3
5118,5168,Tostas com Azeite e Sal,0.1,1.87,18.70,€,continete,padaria_pastelaria,PAPA,5
5121,5171,Tostas com Alho e Salsa,0.1,1.87,18.70,€,continete,padaria_pastelaria,PAPA,5
5124,5175,Tostas Rosmaninho,0.25,2.99,11.96,€,continete,padaria_pastelaria,PAPA,5
5136,5187,Tostas com Tomate e Orégãos,0.1,1.87,18.70,€,continete,padaria_pastelaria,PAPA,5
5140,5191,Pão Massa Mãe de Trigo do Alentejo,0.55,1.59,3.18,€,continete,padaria_pastelaria,PAPA,3
5142,5193,Massa Pizza Retangular 100% Farinha de Espelta,0.4,2.59,6.48,€,continete,padaria_pastelaria,PAPA,3
5169,5221,Tostas Baixo Teor de Sal,0.225,0.93,4.13,€,continete,padaria_pastelaria,PAPA,5
5177,5229,Pão de Centeio e Sementes Massa Mãe,0.55,1.59,3.18,€,continete,padaria_pastelaria,PAPA,3
5181,5233,Pastéis de Feijão,0.35,2.59,7.40,€,continete,padaria_pastelaria,PAPA,7
5182,5234,Bolo de Arroz sem Glúten,0.225,3.56,15.82,€,continete,padaria_pastelaria,PAPA,2
5190,5242,Tostas Clássicas,0.25,2.99,11.96,€,continete,padaria_pastelaria,PAPA,5
5191,5243,Pastel com Frango,1.0,1.19,14.00,€,continete,padaria_pastelaria,PAPA,10
5193,5245,Mini Cenoura,0.26,1.79,6.88,€,continete,padaria_pastelaria,PAPA,20
5195,5247,Tostas com Tomate e Oregãos,0.15,3.19,21.27,€,continete,padaria_pastelaria,PAPA,5
5211,5263,Pão Cerealia 100% Integral,0.385,2.44,6.34,€,continete,padaria_pastelaria,PAPA,4
5224,5276,Tostas de Cebola e Queijo,0.15,3.19,21.27,€,continete,padaria_pastelaria,PAPA,1
5225,5277,Pastéis de Feijão,0.18,2.89,16.06,€,continete,padaria_pastelaria,PAPA,7
5234,5286,Tostas com Alho e Tomilho sem Glúten,0.14,3.61,25.79,€,continete,padaria_pastelaria,PAPA,5
5240,5292,Bolo de Arroz,2.0,0.59,8.43,€,continete,padaria_pastelaria,PAPA,2
5241,5293,Pudim de Leite Condensado,0.5,7.99,15.98,€,continete,padaria_pastelaria,PAPA,0
5250,5302,Pão Alentejano Massa Mãe,1.0,2.9,2.90,€,continete,padaria_pastelaria,PAPA,3
5251,5303,Pão Cerealia de Milho e Centeio,0.385,2.44,6.34,€,continete,padaria_pastelaria,PAPA,4
5279,5332,Pão de Queijo,6.0,0.15,6.82,€,continete,padaria_pastelaria,PAPA,1
5281,5334,Baguete Rústica Massa Mãe,0.27,0.69,2.76,€,continete,padaria_pastelaria,PAPA,3
5283,5336,Pão Escuro Massa Mãe,0.4,1.31,3.28,€,continete,padaria_pastelaria,PAPA,3
5284,5337,Cheesecake de Doce de Leite,0.5,7.99,15.98,€,continete,padaria_pastelaria,PAPA,0
5285,5338,Tostas Redondas com Passas,0.1,1.99,19.90,€,continete,padaria_pastelaria,PAPA,5
5288,5341,Tosta Crocante Quinoa Biológica,0.15,3.93,26.20,€,continete,padaria_pastelaria,PAPA,5
5294,5347,Pão de Leite Brioche com Chocolate,6.0,3.35,14.44,€,continete,padaria_pastelaria,PAPA,0
5295,5348,Pão Escuro Massa Mãe,2.0,0.36,4.50,€,continete,padaria_pastelaria,PAPA,3
5300,5353,Pastel com Queijo e Fiambre,1.0,1.19,14.00,€,continete,padaria_pastelaria,PAPA,1
5310,5363,Pão Fatiado Multicereal sem Glúten,0.32,5.25,16.41,€,continete,padaria_pastelaria,PAPA,4
5318,5371,Pão Tostado Integral,0.27,1.4,5.19,€,continete,padaria_pastelaria,PAPA,5
5322,5375,"Tostas com Pesto, Alho e Manjericão",0.1,1.69,16.90,€,continete,padaria_pastelaria,PAPA,5
5329,5382,Tarte de Feijão,0.5,8.59,17.18,€,continete,padaria_pastelaria,PAPA,7
5389,5443,Massa Tenra Fresca,0.3,2.79,9.30,€,continete,padaria_pastelaria,PAPA,3
5392,5446,Brigadeiros de Doce de Leite,6.0,4.99,33.27,€,continete,padaria_pastelaria,PAPA,0
5399,5453,Tostas Suecas,0.225,1.31,5.82,€,continete,padaria_pastelaria,PAPA,5
5400,5454,Massa Filo,0.12,1.99,16.58,€,continete,padaria_pastelaria,PAPA,3
5422,5478,Espinafre,0.3,2.06,6.87,€,continete,frutas_legumes,FRLE,19
5433,5490,Cenoura Embalada,1.0,1.22,1.22,€,continete,frutas_legumes,FRLE,20
5440,5498,Cenoura,0.68,1.22,0.21,€,continete,frutas_legumes,FRLE,20
5442,5500,Tomate em Cacho,0.48,2.25,0.32,€,continete,frutas_legumes,FRLE,15
5443,5501,Alho Francês Cortado,0.3,1.4,4.67,€,continete,frutas_legumes,FRLE,21
5447,5505,Espinafre Baby Leaf,0.17,1.12,6.59,€,continete,frutas_legumes,FRLE,19
5448,5506,Tomate Redondo,0.75,1.99,0.50,€,continete,frutas_legumes,FRLE,15
5459,5533,Tomate Mini Chucha Vermelho,0.25,1.22,4.88,€,continete,frutas_legumes,FRLE,15
5468,5542,Cenoura Biológica,0.5,0.99,1.98,€,continete,frutas_legumes,FRLE,20
5470,5544,Tomate Chucha,0.56,2.34,0.33,€,continete,frutas_legumes,FRLE,15
5471,5545,Tomate Cherry Trimix,0.25,1.31,5.24 ,€,continete,frutas_legumes,FRLE,15
5480,5570,Tomate Cherry Alongado,0.25,1.4,5.60,€,continete,frutas_legumes,FRLE,15
5481,5572,Feijão Verde Largo,0.3,3.99,0.12,€,continete,frutas_legumes,FRLE,7
5483,5574,Tomate Coração de Boi,0.7,2.99,0.90,€,continete,frutas_legumes,FRLE,15
5493,5585,Feijão Verde,0.5,2.99,5.98,€,continete,frutas_legumes,FRLE,7
5501,5610,Cenoura Ripada,0.2,0.74,3.70,€,continete,frutas_legumes,FRLE,20
5511,5621,Tomate Mini Biológico,0.25,1.19,4.76,€,continete,frutas_legumes,FRLE,15
5512,5623,Tomate Cherry Sweet Vermelho,0.25,1.68,6.72,€,continete,frutas_legumes,FRLE,15
5527,5656,Preparado para Sopa de Espinafres,0.5,1.87,3.74,€,continete,frutas_legumes,FRLE,19
5539,5668,Espinafre,0.15,1.68,11.20,€,continete,frutas_legumes,FRLE,19
5543,5688,Tomate Cacho Biológico,0.5,2.29,4.58,€,continete,frutas_legumes,FRLE,15
5548,5693,Espinafre Biológico,0.3,1.59,5.30,€,continete,frutas_legumes,FRLE,19
5551,5696,Tomate Cherry Rama,0.22,1.97,8.95,€,continete,frutas_legumes,FRLE,15
5636,5849,Morango Desidratado com Chocolate de Leite,0.025,1.19,47.60,€,continete,frutas_legumes,FRLE,0
5639,5852,Sopa Alho Francês com Cenoura,0.35,1.68,4.80,€,continete,frutas_legumes,FRLE,20
5648,5861,Tomate Kumato,0.4,2.82,0.56,€,continete,frutas_legumes,FRLE,15
5649,5862,Dips Cenoura,0.12,1.4,11.67,€,continete,frutas_legumes,FRLE,20
5671,5900,Creme Batata Doce e Espinafres,0.45,2.06,4.58,€,continete,frutas_legumes,FRLE,19
5672,5901,"Fusilli com Legumes, Molho de Tomate e Frango",0.32,3.99,12.47,€,continete,frutas_legumes,FRLE,10
5677,5907,"Sumo Maçã, Pepino, Espinafres, Aipo Limão e Gengibre",0.75,3.99,5.32,€,continete,frutas_legumes,FRLE,19
5681,5911,Tomate Raf,0.6,2.82,0.85,€,continete,frutas_legumes,FRLE,15
5691,5938,Amendoim Tostado no Forno com Sal e Mel,0.15,1.81,12.07,€,continete,frutas_legumes,FRLE,5
5692,5939,Tomate Chocmato,0.5,2.82,0.71,€,continete,frutas_legumes,FRLE,15
5695,5943,Azeitona Verde com Queijo,0.15,3.99,26.60,€,continete,frutas_legumes,FRLE,1
5699,5947,Amêndoa Tostada sem Pele Biológica,0.15,3.99,26.60,€,continete,frutas_legumes,FRLE,5
5722,5986,Tomate Mini Kumato,0.25,1.87,7.48,€,continete,frutas_legumes,FRLE,15
5727,5991,Salada de Frango com Paprica,0.223,3.69,16.55,€,continete,frutas_legumes,FRLE,10
5747,6029,Almôndegas de Cenoura,0.42,9.99,23.79,€,continete,frutas_legumes,FRLE,20
5749,6031,"Sumo Laranja, Cenoura, Beterraba, Maçã e Limão",0.25,1.99,7.96,€,continete,frutas_legumes,FRLE,20
5752,6050,"Sumo Laranja, Cenoura, Beterraba, Maçã e Limão",0.75,3.99,3.99,€,continete,frutas_legumes,FRLE,20
5757,6055,Tomates Secos com Alho,0.09,4.99,55.44,€,continete,frutas_legumes,FRLE,15
5774,6072,Queijo Flamengo Light Fatiado,2.0,3.99,9.97,€,continete,mercearia,MERC,1
5775,6073,Queijo Mini Light,12.0,4.33,18.04,€,continete,mercearia,MERC,1
5779,6078,Queijo Flamengo Light Fatiado,2.0,4.8,12.00,€,continete,mercearia,MERC,1
5781,6081,Queijo Flamengo Light Fatiado,2.0,4.23,9.40,€,continete,mercearia,MERC,1
5782,6082,Grão de Bico Cozido sem Glúten,0.41,0.99,4.23,€,continete,mercearia,MERC,8
5784,6086,Grão de Bico Cozido sem Glúten,0.845,1.99,4.25,€,continete,mercearia,MERC,8
5789,6092,Espinafre Biológico,0.15,2.16,14.40,€,continete,mercearia,MERC,19
5793,6096,Cenoura Biológica,0.5,0.99,1.98,€,continete,mercearia,MERC,20
5795,6098,Hambúrguer de Frango sem Glúten,1.08,13.99,12.95,€,continete,mercearia,MERC,10
5797,6100,Queijo Fresco sem Lactose,4.0,2.16,8.64,€,continete,mercearia,MERC,1
5798,6101,Leite Meio Gordo sem Lactose,4.0,1.97,2.46,€,continete,mercearia,MERC,0
5801,6104,Queijo Flamengo Light Fatiado,0.2,2.63,13.15,€,continete,mercearia,MERC,1
5802,6105,Tortellini Fresco de Ricotta e Espinafres,0.25,3.79,15.16,€,continete,mercearia,MERC,19
5807,6111,Grão de Bico Cozido sem Glúten,0.54,0.89,2.23,€,continete,mercearia,MERC,8
5811,6115,Queijo sem Lactose Light Fatiado,2.0,4.14,13.80,€,continete,mercearia,MERC,1
5812,6117,Queijo Fresco de Vaca Longa Duração Light,4.0,2.53,10.12,€,continete,mercearia,MERC,1
5816,6121,Queijo Flamengo Light Fatiado,0.2,2.63,13.15,€,continete,mercearia,MERC,1
