Name,Quantity,Price,Time scraped
 Pepino Agridoce com Mostarda Maçarico ," 210 G  | 12,10 €/KG
"," 2,54 € ",2023-05-12 18:26:22
 Pepinos Maçarico ," 210 G  | 10,81 €/KG
"," 2,27 € ",2023-05-12 18:26:22
 Açúcar em Pó Sidul ," 250 G  | 6,36 €/KG
"," 1,59 € ",2023-05-12 18:26:22
 Açúcar em Pó Rar ," 250 G  | 5,00 €/KG
"," 1,25 € ",2023-05-12 18:26:22
 Cereais Corn Flakes Pingo Doce ," 500 G  | 3,58 €/KG
"," 1,79 € ",2023-05-12 18:26:22
 Gomas Dedos Interdoces ," 150 G  | 12,60 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Açúcar Mascavado Escuro RAR ," 500 G  | 4,38 €/KG
"," 2,19 € ",2023-05-12 18:26:22
 Açúcar Mascavado Claro RAR ," 500 G  | 4,38 €/KG
"," 2,19 € ",2023-05-12 18:26:22
 Flocos de Mel Pingo Doce ," 750 G  | 4,39 €/KG
"," 3,29 € ",2023-05-12 18:26:22
 Sal Grosso Pingo Doce ," 1 KG  | 0,25 €/KG
"," 0,25 € ",2023-05-12 18:26:22
 Gomas Amoras Interdoces ," 150 G  | 12,60 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gomas Bananas Interdoces ," 150 G  | 12,60 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gomas Minhocas Interdoces ," 150 G  | 12,60 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gomas Minhocas Cítricas Interdoces ," 150 G  | 12,60 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Gomas Morangos Interdoces ," 150 G  | 12,60 €/KG
"," 1,89 € ",2023-05-12 18:26:22
 Açúcar de Coco Bio Seara ," 250 G  | 15,96 €/KG
"," 3,99 € ",2023-05-12 18:26:22
 Açúcar Mascavado+Stevia Sidul ," 500 G  | 6,90 €/KG
"," 3,45 € ",2023-05-12 18:26:22
 Batatas Originais Pringles ," 40 G  | 3,23 €/KG
"," 1,29 € ",2023-05-12 18:26:22
 Gomas Fun Mix Interdoces ," 160 G  | 13,69 €/KG
"," 2,19 € ",2023-05-12 18:26:22
 Gomas Coloridas Fun Mix Interdoces ," 160 G  | 13,69 €/KG
"," 2,19 € ",2023-05-12 18:26:22
