,Time scraped,Category,Name,Amount,Units,List_Price,Price_per_unit_of_measure,Currency
190,2023-05-12 18:26:22,mercearia, Drageias de Frutos Silvestres Smint ,0.035,KG,2.29,65.43,€
191,2023-05-12 18:26:22,mercearia, Sal Grosso Vatel ,1.0,KG,0.49,0.49,€
192,2023-05-12 18:26:22,mercearia, Pastilha Elástica de Spearmint Pingo Doce ,0.022,KG,0.63,28.64,€
193,2023-05-12 18:26:22,mercearia, Pastilha Elástica Morango Bubbaloo ,0.038,KG,0.6,15.79,€
194,2023-05-12 18:26:22,mercearia, Alcaparras em Vinagre Maçarico ,0.125,KG,2.79,22.32,€
195,2023-05-12 18:26:22,mercearia, Molho Indiano Sweet Chutney de Manga Pataks ,0.34,KG,4.79,14.09,€
196,2023-05-12 18:26:22,mercearia, Molho Indiano Butter Chicken Pataks ,0.45,KG,3.89,8.64,€
197,2023-05-12 18:26:22,mercearia, Drageias de Peppermint Smint ,0.035,KG,2.29,65.43,€
198,2023-05-12 18:26:22,mercearia, Molho Indiano Tikka Masala com Tomate Cremoso Pataks ,0.45,KG,3.89,8.64,€
199,2023-05-12 18:26:22,mercearia, Pastilha Elástica Fruit Frutos Silvestres Trident ,0.0145,KG,0.99,68.28,€
200,2023-05-12 18:26:22,mercearia, Pastilha Elástica Max Watermelon Frost Trident ,0.06,KG,2.79,46.5,€
201,2023-05-12 18:26:22,mercearia, Bolachas Recheadas com Morango Barquette Lu ,0.12,KG,2.29,19.08,€
202,2023-05-12 18:26:22,mercearia, Ervilhas Pingo Doce ,0.42,KG,0.78,1.86,€
203,2023-05-12 18:26:22,mercearia, Pastilha Elástica 60 Minutos Spearmint Trident ,0.06,KG,2.79,46.5,€
204,2023-05-12 18:26:22,mercearia, Batatas Fritas Onduladas Pingo Doce - Pack 4 ,0.18,KG,1.49,8.28,€
205,2023-05-12 18:26:22,mercearia, Bolachas Cracker Clássicas Tuc ,0.031,KG,0.89,28.71,€
206,2023-05-12 18:26:22,mercearia, Pastilha Elástica Melão Melancia Trident ,0.0145,KG,0.99,68.28,€
207,2023-05-12 18:26:22,mercearia, Pastilha Elástica Senses Spearmint Trident ,0.023,KG,0.99,43.04,€
208,2023-05-12 18:26:22,mercearia, Pastilha Elástica Extreme Mentol Trident ,0.014,KG,0.99,70.71,€
209,2023-05-12 18:26:22,mercearia, Pastilha Elástica Max II Framboesa Limão Trident ,0.023,KG,0.99,43.04,€
210,2023-05-12 18:26:22,mercearia, Pastilha Elástica Max II Spearmint Trident ,0.023,KG,0.99,43.04,€
211,2023-05-12 18:26:22,mercearia, Pastilha Elástica Morango Max Splash Trident ,0.066,KG,2.79,42.27,€
212,2023-05-12 18:26:22,mercearia, Pastilha Elástica Max Strawberry Trident ,0.022,KG,1.09,49.55,€
213,2023-05-12 18:26:22,mercearia, Pastilha Elástica Menta Verde Pure Fresh Mentos ,0.03,KG,1.84,61.33,€
214,2023-05-12 18:26:22,mercearia, Mostarda com Grãos Pingo Doce ,0.19,KG,1.39,7.32,€
215,2023-05-12 18:26:22,mercearia, Polpa de Maracujá Pingo Doce ,0.565,KG,3.29,5.82,€
216,2023-05-12 18:26:22,mercearia, Drageias de Limão Smint ,0.035,KG,2.29,65.43,€
217,2023-05-12 18:26:22,mercearia, Rebuçados de Mel e Limão Halls ,0.032,KG,0.94,29.37,€
218,2023-05-12 18:26:22,mercearia, Rebuçados de Eucalipto Halls ,0.032,KG,0.94,29.37,€
219,2023-05-12 18:26:22,mercearia, Pastilha Elástica Fresh Peppermint Trident ,0.0145,KG,0.99,68.28,€
220,2023-05-12 18:26:22,mercearia, Pastilha Elástica Fresh Spearmint Trident ,0.0145,KG,0.99,68.28,€
221,2023-05-12 18:26:22,mercearia, Pastilha Elástica Fruit Morango Trident ,0.0145,KG,0.99,68.28,€
222,2023-05-12 18:26:22,mercearia, Tomate Pelado Inteiro Pingo Doce ,0.78,KG,1.29,1.65,€
223,2023-05-12 18:26:22,mercearia, Caramelos Menta Mentos ,0.038,KG,0.89,23.42,€
224,2023-05-12 18:26:22,mercearia, Chupa-Chupa Crazy Dips Morango Chups ,1.0,UN,0.69,0.69,€
225,2023-05-12 18:26:22,mercearia, Pastilha Elástica 60 Minutos Trident ,0.02,KG,1.09,54.5,€
226,2023-05-12 18:26:22,mercearia, Pastilha Elástica Menta Big Bottle Fresh Mentos ,0.06,KG,2.94,49.0,€
227,2023-05-12 18:26:22,mercearia, Rebuçados Extra Strong Halls ,0.032,KG,0.94,29.37,€
228,2023-05-12 18:26:22,mercearia, Pepinos com Coentros Hengstenberg ,0.67,KG,3.49,5.21,€
229,2023-05-12 18:26:22,mercearia, Molho Pesto Alla Calabrese Pingo Doce ,0.19,KG,1.69,8.89,€
230,2023-05-12 18:26:22,mercearia, Rebuçados Peitorais de Alteia e Mel Nazaré ,0.25,KG,2.09,8.36,€
231,2023-05-12 18:26:22,mercearia, Marshmallows Gomamix Pingo Doce ,0.2,KG,1.24,6.2,€
232,2023-05-12 18:26:22,mercearia, Gressinos com Azeite Pingo Doce ,0.25,KG,1.99,7.96,€
233,2023-05-12 18:26:22,mercearia, Gressinos com Azeitonas Pretas Pingo Doce ,0.25,KG,1.99,7.96,€
